system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00,p99_00,p99_50,p99_90,p99_95,p99_99
dtv,randread,1,8K,1.319,5.915,0.3,503,6.5,168,0,0,0,0,2,3,22,64,3,1,0,0,0,0,0,0,10.56,24.448,27.52,35.584,48.896,325.632
dtv,randread,8,8K,11.806,5.289,0.4,600,5.8,1511,0,0,0,0,6,4,25,58,4,0,0,0,0,0,0,0,10.048,16.192,20.352,29.312,47.36,226.304
dtv,randread,16,8K,19.357,6.452,0.4,654,7.3,2477,0,0,0,0,1,3,19,62,11,0,0,0,0,0,0,0,12.736,19.072,22.144,30.848,50.432,436.224
dtv,randread,32,8K,31.492,7.923,0.2,522,6.8,4031,0,0,0,0,0,1,13,62,19,2,0,0,0,0,0,0,16.768,25.216,29.056,44.8,70.144,313.344
dtv,randread,64,8K,37.209,13.42,0.4,665,31.1,4762,0,0,0,0,0,0,9,58,21,6,1,1,0,0,0,0,32,145,231,449,519,627
dtv,read,1,8K,8.523,0.913,0.3,645,2.7,1091,0,0,0,16,66,13,1,1,0,0,0,0,0,0,0,0,1.272,5.6,7.712,22.144,25.472,38.144
dtv,read,1,32K,17.193,1.814,0.5,555,3.4,550,0,0,0,0,42,44,4,7,1,0,0,0,0,0,0,0,6.24,14.016,21.632,28.544,30.848,51.456
dtv,read,1,128K,37.552,3.32,1,549,6.3,300,0,0,0,0,0,48,37,8,4,1,0,0,0,0,0,0,10.56,21.12,25.984,36.096,44.8,296.96
dtv,read,1,1M,87.165,11.47,4,582,10.4,87,0,0,0,0,0,0,0,61,23,14,0,0,0,0,0,0,27,38,43,63,155,461
dtv,read,8,1M,269.019,14.86,4,594,15,269,0,0,0,0,0,0,0,36,47,14,1,0,0,0,0,0,32,62,72,109,400,553
dtv,read,16,1M,376.654,21.21,5,588,15.8,376,0,0,0,0,0,0,0,3,59,33,2,0,0,0,0,0,42,91,100,141,174,478
dtv,read,32,1M,417.548,38.24,5,636,32.8,417,0,0,0,0,0,0,0,0,21,58,13,4,0,0,0,0,99,151,182,465,523,586
dtv,read,64,1M,399.669,79.93,5,1406,106,399,0,0,0,0,0,0,0,0,10,43,25,15,3,1,0,0,255,594,676,1057,1205,1270
dtv,write,1,1K,0.757,1.287,0.5,536,1.7,775,0,0,0,0,48,39,10,0,0,0,0,0,0,0,0,0,2.672,4.256,7.456,19.072,20.352,31.104
dtv,write,1,8K,6.802,1.145,0.5,400,1.8,870,0,0,0,0,50,46,1,0,0,0,0,0,0,0,0,0,1.512,3.184,6.176,18.304,20.096,79.36
dtv,write,1,128K,41.685,2.99,1,373,7.3,333,0,0,0,0,0,25,66,5,1,0,0,0,0,0,0,0,7.008,14.656,22.912,120.32,183.296,284.672
dtv,write,4,1K,0.947,2.057,0.5,162,1.4,970,0,0,0,0,7,47,42,1,0,0,0,0,0,0,0,0,3.28,5.024,7.328,19.584,20.608,33.536
dtv,write,4,8K,7.068,2.206,0.6,156,2.1,904,0,0,0,0,0,41,56,1,0,0,0,0,0,0,0,0,2.832,4.32,5.408,21.12,39.68,93.696
dtv,write,4,128K,49.128,5.08,1,494,11.4,393,0,0,0,0,0,0,66,28,3,0,0,0,0,0,0,0,10,21,36,204,260,420
dtv,write,16,1K,3.245,2.402,0.5,185,1.9,3323,0,0,0,0,0,36,58,3,0,0,0,0,0,0,0,0,3.792,7.648,9.408,21.888,35.072,50.944
dtv,write,16,8K,20.884,2.987,0.7,311,4.5,2673,0,0,0,0,0,7,87,4,0,0,0,0,0,0,0,0,4.448,9.664,16.064,73.216,115.2,166.912
dtv,write,16,128K,84.58,11.8,2,887,28.7,676,0,0,0,0,0,0,0,76,19,3,0,0,0,0,0,0,20,67,174,498,603,750
emc,randread,1,8K,0.356,21.9,2,162,19,45,0,0,0,0,0,0,0,15,48,30,4,1,0,0,0,0,53,103,139,163,163,163
emc,randread,8,8K,2.608,23.756,0.4,206,20,333,0,0,0,0,0,0,1,14,42,33,6,1,0,0,0,0,61,108,137,176,202,206
emc,randread,16,8K,4.63,26.676,0.2,358,25.2,592,0,0,0,0,0,0,1,13,37,35,8,2,0,0,0,0,73,129,153,235,285,359
emc,randread,32,8K,7.41,32.831,0.3,303,24.2,948,0,0,0,0,0,0,0,4,25,54,12,2,0,0,0,0,80,124,151,245,269,306
emc,randread,64,8K,7.614,54.69,0.3,404,30.4,974,0,0,0,0,0,0,0,0,2,49,42,5,0,0,0,0,103,180,231,289,306,404
emc,read,1,8K,15.342,0.506,0.2,3,0.2,1963,0,0,10,25,63,0,0,0,0,0,0,0,0,0,0,0,0.652,0.716,0.82,2.288,2.352,2.48
emc,read,1,32K,7.908,3.946,0.3,238,9.7,253,0,0,0,10,60,5,3,10,6,3,0,0,0,0,0,0,18.56,42.24,58.624,107.008,123.392,238.592
emc,read,1,128K,37.373,3.339,0.6,127,8.4,298,0,0,0,0,32,53,1,4,4,3,0,0,0,0,0,0,17.28,40.704,50.944,114.176,116.224,127.488
emc,read,1,1M,23.017,43.42,3,240,37,23,0,0,0,0,0,0,17,12,0,29,36,4,0,0,0,0,96,190,202,241,241,241
emc,read,8,1M,135.312,36.79,3,393,41.7,135,0,0,0,0,0,0,9,10,36,13,22,6,0,0,0,0,113,196,245,351,396,396
emc,read,16,1M,147.754,60.01,3,475,56.4,147,0,0,0,0,0,0,3,9,24,14,31,16,1,0,0,0,169,260,289,408,478,478
emc,read,32,1M,246.147,71.18,3,1038,81.1,246,0,0,0,0,0,0,6,14,16,9,25,23,2,0,0,0,212,371,441,619,988,1037
emc,read,64,1M,282.076,111.12,3,851,115.2,282,0,0,0,0,0,0,0,1,11,30,12,32,8,1,0,0,330,545,660,758,791,848
emc,write,1,1K,1.5,0.647,0.2,96,2.2,1536,0,0,2,27,69,0,0,0,0,0,0,0,0,0,0,0,0.708,0.916,3.248,36.096,54.528,88.576
emc,write,1,8K,13.686,0.567,0.2,3,0.2,1751,0,0,0,29,69,0,0,0,0,0,0,0,0,0,0,0,0.756,0.916,1.004,1.224,1.688,2.672
emc,write,1,128K,94.443,1.317,0.7,50,2.1,755,0,0,0,0,54,43,0,1,0,0,0,0,0,0,0,0,1.176,10.048,10.048,29.824,39.68,50.432
emc,write,4,1K,4.752,0.611,0.2,330,3.5,4866,0,0,23,44,31,0,0,0,0,0,0,0,0,0,0,0,0.7,2.928,14.144,40.192,47.872,124.416
emc,write,4,8K,55.501,0.419,0.2,7,0.1,7104,0,0,1,85,12,0,0,0,0,0,0,0,0,0,0,0,0.708,0.86,1.004,1.864,2.32,3.312
emc,write,4,128K,112.242,3.331,0.7,114,6.3,897,0,0,0,0,6,78,0,6,5,2,0,0,0,0,0,0,10.176,30.08,39.68,70.144,80.384,114.176
emc,write,16,1K,11.661,0.739,0.2,722,4.4,11941,0,0,11,69,17,0,0,0,0,0,0,0,0,0,0,0,0.748,10.432,21.376,44.288,58.112,171.008
emc,write,16,8K,173.187,0.399,0.2,835,2,22167,0,0,1,94,3,0,0,0,0,0,0,0,0,0,0,0,0.474,0.708,0.868,10.048,20.096,40.192
emc,write,16,128K,96.222,11.588,0.7,3331,141.3,769,0,0,0,0,0,2,84,3,4,4,0,0,0,0,0,0,20.096,49.92,61.696,3293.184,3293.184,3325.952
mem,read,1,8K,1130.7,0.006,0,0,0,144716,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.008,0.009,0.015,0.021,0.048
mem,read,1,32K,1843.3,0.016,0,0,0,58983,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.024,0.026,0.046,0.059,0.133
mem,read,1,128K,2084.1,0.058,0.1,0,0,16679,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0.074,0.076,0.097,0.123,0.187
mem,read,1,1M,2236.3,0.445,0.4,4,0,2236,0,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0.474,0.502,0.524,0.62,0.7,1.336
mem,read,8,1M,7154.2,0.689,0.3,328,3.7,7154,0,0,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0.612,0.7,0.884,50.944,84.48,166.912
mem,read,16,1M,7198.7,1.19,0.3,760,10.6,7198,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0.628,1.592,40.192,150.528,201.728,444.416
mem,read,32,1M,7491.1,2.633,0.3,1670,32.6,7491,0,0,0,2,96,0,0,0,0,0,0,0,0,0,0,0,0.628,4.192,101.888,528.384,741.376,1187.84
mem,read,64,1M,7466.3,7.885,0.3,1570,76.8,7466,0,0,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0.644,160.768,790.528,1056.768,1138.688,1400.832
mem,randread,1,8K,967.246,0.006,0,2,0,123807,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.009,0.011,0.021,0.026,0.068
mem,randread,8,8K,3845.6,0.014,0,520,1,492223,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.01,0.012,0.036,0.065,0.233
mem,randread,16,8K,3664.3,0.03,0,840,2.6,469022,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.009,0.011,0.038,0.076,40.192
mem,randread,32,8K,3702.3,0.057,0,1163,5.2,473892,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.009,0.011,0.038,0.07,110.08
mem,randread,64,8K,3697.6,0.116,0,1770,9.7,473288,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.01,0.012,0.038,0.074,651.264
mem,write,1,1K,210.374,0.003,0,0,0,215423,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.004,0.004,0.009,0.015,0.027
mem,write,1,8K,1056.5,0.006,0,0,0,135230,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.007,0.009,0.018,0.024,0.064
mem,write,1,128K,1871.8,0.065,0.1,3,0,14973,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.081,0.1,0.159,0.163,0.211
mem,write,4,1K,102.471,0.026,0,60,0.1,104930,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.05,0.057,0.079,0.096,0.237
mem,write,4,8K,523.658,0.042,0,180,0.4,67028,81,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0.067,0.106,2.576,4.048,8.768
mem,write,4,128K,1719.5,0.214,0.1,220,1.3,13755,0,0,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.31,0.374,8.384,8.768,47.36
mem,write,16,1K,86.771,0.097,0,700,3.6,88854,60,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0.209,0.241,0.298,0.58,179.2
mem,write,16,8K,472.522,0.136,0,1190,4.9,60482,38,42,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0.237,0.243,1.304,10.688,220.16
mem,write,16,128K,1581,0.678,0.1,1620,13.1,12648,0,0,44,41,13,0,0,0,0,0,0,0,0,0,0,0,0.748,0.844,0.924,96.768,301.056,522.24
pg8,randread,1,8K,12.002,0.645,0.2,57,1.3,1536,0,0,0,41,50,4,1,0,0,0,0,0,0,0,0,0,1.144,2.64,4.96,26.24,31.872,48.384
pg8,randread,8,8K,50.828,1.223,0,131,2.5,6506,0,0,0,14,59,18,3,2,0,0,0,0,0,0,0,0,2.896,10.816,13.12,34.56,38.656,61.184
pg8,randread,16,8K,58.855,2.116,0,184,4.3,7533,0,0,0,6,48,25,8,7,3,0,0,0,0,0,0,0,8.768,16.768,29.824,53.504,63.232,107.008
pg8,randread,32,8K,49.877,5.003,0,702,26.4,6384,0,0,0,5,44,25,8,9,4,1,0,0,0,0,0,0,12.224,73.216,162.816,452.608,536.576,626.688
pg8,randread,64,8K,47.21,10.58,0,683,51,6042,0,0,0,4,42,24,7,9,5,1,1,1,0,0,0,0,23.424,292.864,440.32,602.112,626.688,643.072
pg8,read,1,8K,14.436,0.536,0.2,117,0.8,1847,0,0,1,53,41,2,0,0,0,0,0,0,0,0,0,0,0.892,2.024,2.8,7.52,12.224,33.536
pg8,read,1,32K,38.88,0.798,0.4,170,1.4,1244,0,0,0,12,76,9,1,0,0,0,0,0,0,0,0,0,1.368,2.8,4.256,15.808,30.336,54.528
pg8,read,1,128K,70.421,1.77,0.9,102,2.2,563,0,0,0,0,0,85,12,1,0,0,0,0,0,0,0,0,2.64,6.752,12.352,37.632,48.896,67.072
pg8,read,1,1M,158.044,6.32,3,127,5.7,158,0,0,0,0,0,0,1,91,4,2,0,0,0,0,0,0,15,35,41,68,77,128
pg8,read,8,1M,344.459,11.6,2,231,8.7,344,0,0,0,0,0,0,0,57,32,8,0,0,0,0,0,0,28,47,59,88,104,157
pg8,read,16,1M,405.625,19.71,2,1273,33.5,405,0,0,0,0,0,0,0,28,49,16,3,1,0,0,0,0,52,135,192,453,644,988
pg8,read,32,1M,512.583,31.19,2,1336,90.2,512,0,0,0,0,0,0,0,25,47,18,4,2,0,0,0,0,83,469,652,1270,1287,1287
pg8,read,64,1M,772.646,41.39,2,1348,134.2,772,0,0,0,0,0,0,0,27,43,18,4,2,1,1,0,0,108,775,1254,1287,1303,1352
pg8,write,1,1K,1.094,0.887,0.3,82,1.1,1120,0,0,0,20,59,15,4,0,0,0,0,0,0,0,0,0,2.024,3.344,4.704,10.816,16.064,53.504
pg8,write,1,8K,9.749,0.796,0.4,76,1,1247,0,0,0,13,74,9,1,0,0,0,0,0,0,0,0,0,1.384,2.928,4.048,10.304,14.016,47.872
pg8,write,1,128K,60.336,2.07,1,119,2.1,482,0,0,0,0,0,80,12,5,0,0,0,0,0,0,0,0,4.32,7.456,11.968,30.848,46.848,57.6
pg8,write,4,1K,1.291,1.507,0.3,92,1.7,1322,0,0,0,4,21,59,13,1,0,0,0,0,0,0,0,0,2.832,5.152,7.008,21.12,36.608,74.24
pg8,write,4,8K,9.459,1.646,0.4,163,2,1210,0,0,0,0,10,75,11,1,0,0,0,0,0,0,0,0,2.896,5.6,7.648,24.448,41.216,75.264
pg8,write,4,128K,70.165,3.55,1,113,3.8,561,0,0,0,0,0,1,83,12,1,0,0,0,0,0,0,0,8.096,13.12,20.864,56.576,79.36,103.936
pg8,write,16,1K,4.278,1.82,0.4,210,2.4,4381,0,0,0,0,10,65,21,2,0,0,0,0,0,0,0,0,3.312,5.792,8.384,27.776,52.992,85.504
pg8,write,16,8K,26.744,2.331,0.5,142,2.8,3423,0,0,0,0,0,60,32,5,0,0,0,0,0,0,0,0,4.576,8.512,13.248,44.288,58.112,87.552
pg8,write,16,128K,118.496,8.43,2,722,11.6,947,0,0,0,0,0,0,0,77,19,1,0,0,0,0,0,0,14,40,60,95,135,725
